name,address,rating
Djemi's Café,"7 Quai des Célestins, Lyon, France 69002 Lyon","8,3"
Les Terrasses du Valdo,"146 bis, rue Pierre Valdo 69005 Lyon","8,5"
Café du Gros Caillou,180 Boulevard de la Croix-Rousse 69001 Lyon,"9,1"
Rani Raja,3 Rue Soufflot 69005 Lyon,"8,7"
Les Petits Siamois,"16, rue du Palais Grillet 69002 Lyon","8,6"
Le Vin Gourmand,"50, rue de la Villette 69003 Lyon","8,2"
Le 71,71 Rue Masséna 69006 Lyon,"8,1"
La Terrasse de l'Antiquaille,Montée du chemin neuf 69005 Lyon,"8,9"
La Maison,4 Rue Jonas Salk 69007 Lyon,"8,6"
"Café des Artisans, Le Bouchon de Muriel",116 rue du Dauphiné 69003 Lyon,"7,5"
Brasserie Marius,"39, boulevard Marius Vivier Merle 69003 Lyon","7,4"
Le Bistrot d'Abel,47 Rue de la Bourse 69002 Lyon,"8,9"
Sawadee,175 Avenue Jean Jaurès 69007 Lyon,"7,3"
Le Bistrot d'Arno,"3, rue Bugeaud 69006 Lyon","8,7"
La Nonna,"29, rue Ney 69006 Lyon","7,8"
Dine Dong,"89, rue Bossuet 69006 Lyon","8,5"
Grand Café des Négociants,"1, place Francisque Régaud 69002 Lyon","8,2"
Le Penjab,"25bis, quai Romain Rolland 69005 Lyon","8,5"
Éléphant,"53, rue Ney 69006 Lyon","8,4"
La Tête de Lard,"13, rue Désirée 69001 Lyon","8,8"
Le Tandem,"81, rue Louis Blanc 69006 Lyon","8,9"
La Belle Assiette - Chef à Domicile,41 Rue Saint-Jean 69005 Lyon,"9,1"
Pasta Bella,"172, cours Lafayette 69003 Lyon","7,9"
Home Sushi,"69, rue Marietton 69009 Lyon","8,5"
Yzumi,"71, rue Ney 69006 Lyon","8,2"
Brasserie Lyon Plage - Hôtel Lyon Métropole,"85, quai Joseph Gillet 69004 Lyon","7,5"
Les Tables Claudiennes,"41, rue des Tables Claudiennes 69001 Lyon","7,8"
Namaskar,112 Cours Charlemagne 69002 Lyon,"8,3"
Vas-y Vas-y,"10, rue des Verriers 69007 Lyon","8,9"
Le Centre by Georges,"14, rue Grolée 69002 Lyon","8,6"
Côté Part Dieu,"105, rue de la Part Dieu 69003 Lyon","8,4"
Le Baronn,"2, rue des 3 Maries 69005 Lyon","8,3"
Layali Beyrouth,"38, rue du Dauphiné 69003 Lyon","8,8"
L'Épicerie Comptoir - Les Brotteaux,"192, rue Cuvier 69006 Lyon","8,2"
Bellaggio Grill,20 Rue du Dauphiné 69003 Lyon,"7,8"
Le Phénicien,81 Rue Masséna 69006 Lyon,"9,1"
Le castel café,"35, rue Pierre Corneille 69006 Lyon","8,9"
Sushi & Sushis,47 Rue de Gerland 69007 Lyon,"8,7"
Le Mondrian,1 Quai Claude Bernard 69007 Lyon,"9,2"
Le Comptoir Duquesne,24 Rue Duquesne 69006 Lyon,9
Freshour,"61 Rue Denuzière, Lyon, France 69002 Lyon","8,5"
Le PAP : Papoter Autour d'un Plat,25 Rue Delandine 69002 Lyon,"8,5"
OKSUSHI,"61, rue de seze 69006 Lyon","9,4"
Café Perché,112 Cours Charlemagne 69002 Lyon,"8,8"
Bulgogi,74 cours Vitton 69006 Lyon,"7,5"
Papagayo,"87, quai Pierre Scize 69005 Lyon",
Hua Yuan Xuan,20 Rue Mulet 69001 Lyon,
N'Café Novotel Lyon Part Dieu,47 Boulevard Marius Vivier Merle 69003 Lyon,"8,1"
Le Jaboulay,"82 Rue Jaboulay, Lyon, France 69007 Lyon","8,4"
Le Layon,"52, rue Merciere 69003 Lyon","8,4"
Le Verdi,13 Boulevard des Brotteaux 69006 Lyon,"8,5"
Le Comptoir de l'Atelier,49 Rue Mercière 69002 Lyon,"8,7"
KOS-I,"4, rue Jean Marcuit 69009 Lyon","7,3"
Monna Lisa,44 Cours Charlemagne 69002 Lyon,"8,5"
Taste and See,50 rue Pasteur 69007 Lyon,8
Brasserie Le Dandy,45 Rue de la Bourse 69002 Lyon,"8,5"
La Mama S&I,33 Cours d&#39;Herbouville 69004 Lyon,8
Le Scorsese,"71, rue Pierre Corneille 69006 Lyon","6,9"
Le Bistrot Bonnel,66 Rue de Bonnel 69003 Lyon,"8,5"
"Le Bon, le Boeuf et le Truand","8, rue Juiverie 69005 Lyon","8,4"
Indochine,"51, rue Denuzière 69002 Lyon","8,9"
Le Comptoir de la Confluence,"41, rue Smith 69002 Lyon","7,4"
Café Saint-Amour,77 Rue Villeroy 69003 Lyon,"9,1"
Panijo,"35, rue de l'Université 69007 Lyon","8,9"
Le Tono,"17, rue Claudia 69002 Lyon","8,7"
Le Bistrouille,Place Saint-Paul 69005 Lyon,"9,2"
Nambo,16 Quai de Bondy 69005 Lyon,9
L'Origo,"2 rue Célu, 69004 Lyon, France 69004 Lyon","8,5"
Bar Lounge le 12.2,12 Cours de Verdun Rambaud 69002 Lyon,"8,5"
Grain de Sel,33 Rue du Sergent Michel Berthet 69009 Lyon,"9,4"
Le Phosphore,Montée du Chemin Neuf 69005 Lyon,"8,8"
Gochi Perrache,"11, rue Général Plessier 69002 Lyon","7,5"
DOCKER RESTAURANT,"16, quai du Commerce 69009 Lyon",8
Le Cinématographe,69 Cours Albert Thomas 69003 Lyon,"6,8"
Marguerite Restaurant,"57, Avenue des Frères Lumière 69008 Lyon","7,9"
C'est Tout Bon,"3, rue Sala 69002 Lyon","7,4"
Comptoir JOA,"44, quai Charles de Gaulle 69006 Lyon","8,2"
L'Entracte,69 Cours Albert Thomas 69003 Lyon,"7,8"
L'un des Sens,24 Rue Palais Grillet 69002 Lyon,"8,4"
Café des Anges,"81, rue Vauban 69006 Lyon","8,4"
Le Pompeï,275 cours Lafayette 69006 Lyon,"8,2"
L'Épicerie Comptoir - Croix Rousse,"3, place Bertone 69004 Lyon","8,3"
Thaï Demoiselle,12 Quai Victor Augagneur 69003 Lyon,"8,1"
Le Palais de Saint Jean,"40, rue Saint Jean 69005 Lyon",8
Grand Café Lyonnais,"4, rue de la Barre 69002 Lyon","5,3"
Le Marmito,"25, rue Masséna 69006 Lyon","8,8"
Le Panier du Chef,"1, place Neuve Saint-Jean 69005 Lyon","8,8"
Engimono,8 rue Servient 69003 Lyon,"7,3"
Bleu Soleil,"52, rue Étienne Richerand 69003 Lyon","8,5"
Asian Hall,90 cours Lafayette 69003 Lyon,"6,6"
Brasserie Le Sud,"11, Place Antonin-Poncet 69002 Lyon","8,3"
Tendance d'Europe,"10, place de L'Europe 69006 Lyon","9,8"
Kan Food,"249, rue Paul Bert 69003 Lyon","7,1"
Italia e Sapore,"88, rue Vendôme 69006 Lyon","8,3"
L'endroit Cité,"62, quai Charles de Gaulle 69006 Lyon","8,5"
Le Sathonay,"34, rue Sergent Blandan 69001 Lyon","9,1"
Le Petit Dauphin,"38, rue Notre Dame 69006 Lyon","8,9"
La Patrie,58 avenue Maréchal de Saxe 69003 Lyon,"7,9"
Les Terrasses - Hôtel La Tour Rose,"22, rue du Boeuf 69005 Lyon","8,1"
Baryton,"30, rue de l'Arbre Sec 69001 Lyon",8
Le Preskil,"4, rue Confort 69002 Lyon","7,5"
Le Jardin Gourmand,"15, rue Pouteau 69001 Lyon","8,2"
Aux Petits Oignons,"45, rue de Sèze			
 69006 Lyon","7,9"
All 54,"Hôtel Ibis Styles - 54, rue de la Villette 69003 Lyon","8,1"
Au Grand Méchant Loup,12 Rue Palais Grillet 69002 Lyon,"8,3"
Pepperoni,"78, rue Vendôme 69006 Lyon","8,8"
L'Alhambra,"73, rue de Sèze 69006 Lyon","7,3"
Le Napolitain,69 Rue Ney 69006 Lyon,"8,9"
L'Endroit Confluence,"9b, quai Antoine Riboud 69002 Lyon","8,2"
Wanthita Thaï Street Food,"124 Cours Lafayette, Lyon, France 69003 Lyon",8
Le Poklin,"60, rue Molière 69003 Lyon","7,9"
Pekin Express,"114 Rue Paul Bert, Lyon, France 69003 Lyon","8,5"
Le SelCius,"43, quai Rambaud 69002 Lyon","8,4"
La Hugonnière,"13, rue Neuve 69001 Lyon","9,3"
AOC Les Halles,"Halles Paul Bocuse, 102 cours Lafayette 69003 Lyon","8,6"
Le MoMa,"8, rue Chavanne 69001 Lyon","7,7"
Le Jardin Intérieur,"1, rue Justin Godart 69004 Lyon","7,7"
Peniche Loupika,"47, quai rambaud 69002 Lyon","9,1"
Le Bistrot de Lyon,"64, rue Mercière - Angle rue de la Monnaie 69002 Lyon","8,9"
Restaurant Thomas,"6, rue Laurencin 69002 Lyon","8,7"
